Source,Target,Type,Id,Label,Weight,region,is_in_house
AESC Group,BMW (USA),Directed,13,Battery,1,USA,F
AESC Group,Renault (Europe),Directed,140,Battery,1,Europe,F
"Aisin Seiki Co., Ltd., DENSO Corp.",Toyota (Europe),Directed,176,Motors,1,Europe,F
"Aisin Seiki Co., Ltd., DENSO Corp.",Toyota (USA),Directed,181,Motors,1,USA,F
"Aisin Seiki Co., Ltd., DENSO Corp.",Volkswagen (USA),Directed,198,Motors,1,USA,F
Applied Intuition,Porsche,Directed,132,Autonomous Driving,1,Global,F
Aptiv,Rivian (USA),Directed,149,Motors,1,USA,F
Argo AI,Volkswagen (USA),Directed,199,Autonomous Driving,1,USA,F
Aurora Innovation,Volvo (USA),Directed,214,Autonomous Driving,1,USA,F
"Autoliv, Inc.",Changan (China),Directed,24,Autonomous Driving,1,China,F
"Autoliv, Inc.",Geely (China),Directed,50,Autonomous Driving,1,China,F
Automotive Cells Company,Mercedes-Benz (Europe),Directed,103,Battery,1,Europe,F
Autonomous A2Z,Kia,Directed,84,Autonomous Driving,1,Global,F
BASF,Porsche (Europe),Directed,127,Battery,1,Europe,F
Beijing Benz Automotive,Mercedes-Benz (China),Directed,100,Battery,1,China,F
BluE Nexus Corporation,Toyota (Europe),Directed,177,Motors,1,Europe,F
BMW,BMW (China),Directed,219,,1,,
BMW,BMW (Europe),Directed,220,,1,,
BMW,BMW (USA),Directed,221,,1,,
BMW Group,BMW (China),Directed,3,Battery,1,China,T
BMW Group,BMW (Europe),Directed,12,Battery,1,Europe,T
BMW Group,BMW (USA),Directed,15,Battery,1,USA,T
"BorgWarner, Inc.",BYD (USA),Directed,22,Battery,1,USA,F
"BorgWarner, Inc.",Ford (USA),Directed,35,Motors,1,USA,F
Bosch Group,Changan (China),Directed,25,Motors,1,China,F
Bosch Group,Rivian (USA),Directed,150,Motors,1,USA,F
BYD,BYD (China),Directed,18,Motors,3,China,T
BYD,BYD (Europe),Directed,20,Vehicle Manufacturing,2,Europe,T
BYD,BYD (South America),Directed,21,Vehicle Manufacturing,2,South America,T
BYD,BYD (USA),Directed,23,Vehicle Manufacturing,2,USA,T
BYD,Tesla (China),Directed,157,Battery,1,China,F
BYD,Toyota (China),Directed,174,Battery,1,China,F
CALB,Changan (China),Directed,26,Battery,1,China,F
CALB,GAC Aion (China),Directed,41,Battery,1,China,F
CALB,NIO (China),Directed,116,Battery,1,China,F
CATL,BMW (China),Directed,0,Battery,1,China,F
CATL,BMW (Europe),Directed,4,Battery,1,Europe,F
CATL,Ford (USA),Directed,36,Battery,1,USA,F
CATL,Geely (China),Directed,51,Battery,1,China,F
CATL,Geely,Directed,60,Battery,1,Global,F
CATL,Hyundai (China),Directed,61,Battery,1,China,F
CATL,Hyundai (USA),Directed,69,Battery,1,USA,F
CATL,Kia (China),Directed,81,Battery,1,China,F
CATL,Kia (USA),Directed,87,Battery,1,USA,F
CATL,Mercedes-Benz (China),Directed,101,Battery,1,China,F
CATL,Mercedes-Benz (Europe),Directed,104,Battery,1,Europe,F
CATL,NIO (China),Directed,117,Battery,1,China,F
CATL,NIO (Europe),Directed,123,Battery,1,Europe,F
CATL,Porsche (China),Directed,126,Battery,1,China,F
CATL,Porsche (Europe),Directed,128,Battery,1,Europe,F
CATL,Renault (Europe),Directed,141,Battery,1,Europe,F
CATL,Tesla (China),Directed,158,Battery,1,China,F
CATL,Tesla (Europe),Directed,162,Battery,1,Europe,F
CATL,Tesla (USA),Directed,166,Battery,1,USA,F
CATL,Toyota (China),Directed,175,Battery,1,China,F
CATL,Toyota (USA),Directed,182,Battery,1,USA,F
CATL,Volkswagen (China),Directed,187,Battery,1,China,F
CATL,Volvo (China),Directed,202,Battery,1,China,F
CATL,Volvo (Europe),Directed,205,Battery,1,Europe,F
CATL,Volvo (USA),Directed,215,Battery,1,USA,F
Changan Automobile,Changan (China),Directed,31,Battery,1,China,T
dcbel,Volvo (Europe),Directed,206,Motors,1,Europe,F
Dräxlmaier Group,Porsche (Europe),Directed,129,Battery,1,Europe,F
ECARX Holdings Inc.,GAC Aion (China),Directed,42,Autonomous Driving,1,China,F
ECARX Holdings Inc.,Geely (China),Directed,52,Autonomous Driving,1,China,F
Embotech AG,BMW (Europe),Directed,5,Autonomous Driving,1,Europe,F
EVE Energy,BMW (China),Directed,1,Battery,1,China,F
EVTECH,NIO (China),Directed,118,Motors,1,China,F
Farasis Energy,Mercedes-Benz (Europe),Directed,105,Battery,1,Europe,F
Ford,Ford (Europe),Directed,226,,1,,
Ford,Ford (USA),Directed,228,,1,,
Ford Motor Company,Ford,Directed,34,Autonomous Driving,1,Global,T
Ford Motor Company,Ford (USA),Directed,40,Motors,1,USA,T
Foretellix,Geely (China),Directed,53,Autonomous Driving,1,China,F
GAC,GAC Aion (China),Directed,46,Battery,1,China,T
